Time,Event,Crane,Location,Plate
488,Move_to,Crane-2,B26,
488,Put_down,Crane-2,B26,SP-RS-B13-162
488,Move_from,Crane-2,B26,
494,Move_to,Crane-1,cn2,
494,Put_down,Crane-1,cn2,SP-RT-B20-145
494,Move_to,Crane-2,B29,
494,Move_from,Crane-2,B29,
494,Move_from,Crane-1,cn2,
514,Move_to,Crane-2,B21,
514,Pick_up,Crane-2,B21,SP-RT-B21-149
514,Move_from,Crane-2,B21,
516,Move_to,Crane-2,cn1,
516,Put_down,Crane-2,cn1,SP-RT-B21-149
516,Move_from,Crane-2,cn1,
517,Release,,cn2,
540,Move_to,Crane-1,A03,
540,Pick_up,Crane-1,A03,SP-RS-A03-134
540,Move_from,Crane-1,A03,
544,Move_to,Crane-2,B34,
544,Pick_up,Crane-2,B34,SP-RS-B34-144
544,Move_from,Crane-2,B34,
550,Move_to,Crane-2,B31,
550,Avoiding_wait_start,Crane-2,B31,
590,Avoiding_wait_finish,Crane-2,B31,
590,Move_from,Crane-2,B31,
590,Move_to,Crane-1,B26,
590,Put_down,Crane-1,B26,SP-RS-A03-134
590,Move_from,Crane-1,B26,
605,Release,,cn1,
606,Move_to,Crane-1,B20,
606,Pick_up,Crane-1,B20,SP-RT-B20-144
606,Move_from,Crane-1,B20,
626,Move_to,Crane-2,B15,
626,Put_down,Crane-2,B15,SP-RS-B34-144
626,Move_to,Crane-1,B10,
626,Move_from,Crane-1,B10,
626,Move_from,Crane-2,B15,
638,Move_to,Crane-2,B21,
638,Pick_up,Crane-2,B21,SP-RT-B21-148
638,Move_from,Crane-2,B21,
640,Move_to,Crane-2,cn1,
640,Put_down,Crane-2,cn1,SP-RT-B21-148
640,Move_from,Crane-2,cn1,
658,Move_to,Crane-1,cn2,
658,Put_down,Crane-1,cn2,SP-RT-B20-144
658,Move_from,Crane-1,cn2,
668,Move_to,Crane-2,B34,
668,Pick_up,Crane-2,B34,SP-RS-B34-143
668,Move_from,Crane-2,B34,
671,Release,,cn2,
674,Move_to,Crane-2,B37,
674,Put_down,Crane-2,B37,SP-RS-B34-143
674,Move_from,Crane-2,B37,
678,Move_to,Crane-1,A34,
678,Pick_up,Crane-1,A34,SP-RS-A34-142
678,Move_to,Crane-2,A39,
678,Move_from,Crane-2,A39,
678,Move_from,Crane-1,A34,
710,Move_to,Crane-2,A24,
710,Pick_up,Crane-2,A24,SP-RT-A24-164
710,Move_from,Crane-2,A24,
712,Move_to,Crane-2,cn2,
712,Put_down,Crane-2,cn2,SP-RT-A24-164
712,Move_from,Crane-2,cn2,
721,Release,,cn2,
728,Move_to,Crane-2,A32,
728,Pick_up,Crane-2,A32,SP-RS-A32-149
728,Move_from,Crane-2,A32,
748,Move_to,Crane-1,B01,
748,Put_down,Crane-1,B01,SP-RS-A34-142
748,Move_from,Crane-1,B01,
766,Move_to,Crane-2,B15,
766,Put_down,Crane-2,B15,SP-RS-A32-149
766,Move_from,Crane-2,B15,
784,Move_to,Crane-1,A19,
784,Pick_up,Crane-1,A19,SP-RT-A19-152
784,Move_from,Crane-1,A19,
798,Move_to,Crane-1,cn2,
798,Put_down,Crane-1,cn2,SP-RT-A19-152
798,Move_from,Crane-1,cn2,
804,Move_to,Crane-2,A32,
804,Pick_up,Crane-2,A32,SP-RS-A32-148
804,Move_from,Crane-2,A32,
818,Release,,cn2,
818,Move_to,Crane-1,B34,
818,Pick_up,Crane-1,B34,SP-RS-B34-142
818,Move_to,Crane-2,B39,
818,Move_from,Crane-2,B39,
818,Move_from,Crane-1,B34,
870,Move_to,Crane-2,B15,
870,Put_down,Crane-2,B15,SP-RS-A32-148
870,Move_from,Crane-2,B15,
877,Release,,cn1,
880,Move_to,Crane-2,B20,
880,Pick_up,Crane-2,B20,SP-RT-B20-143
880,Move_from,Crane-2,B20,
882,Move_to,Crane-1,A04,
882,Put_down,Crane-1,A04,SP-RS-B34-142
882,Move_from,Crane-1,A04,
892,Move_to,Crane-2,cn2,
892,Put_down,Crane-2,cn2,SP-RT-B20-143
892,Move_from,Crane-2,cn2,
910,Move_to,Crane-1,A18,
910,Pick_up,Crane-1,A18,SP-RT-A18-137
910,Move_from,Crane-1,A18,
912,Move_to,Crane-2,B34,
912,Pick_up,Crane-2,B34,SP-RS-B34-141
912,Move_from,Crane-2,B34,
918,Move_to,Crane-1,cn1,
918,Put_down,Crane-1,cn1,SP-RT-A18-137
918,Move_from,Crane-1,cn1,
920,Release,,cn2,
934,Move_to,Crane-2,B24,
934,Put_down,Crane-2,B24,SP-RS-B34-141
934,Move_from,Crane-2,B24,
944,Move_to,Crane-2,B20,
944,Pick_up,Crane-2,B20,SP-RT-B20-142
944,Move_from,Crane-2,B20,
956,Move_to,Crane-2,cn2,
956,Put_down,Crane-2,cn2,SP-RT-B20-142
956,Move_from,Crane-2,cn2,
962,Move_to,Crane-1,B00,
962,Pick_up,Crane-1,B00,SP-ST-B00-466
962,Move_from,Crane-1,B00,
972,Move_to,Crane-2,A32,
972,Pick_up,Crane-2,A32,SP-RS-A32-147
972,Move_from,Crane-2,A32,
990,Move_to,Crane-2,B24,
990,Put_down,Crane-2,B24,SP-RS-A32-147
990,Move_from,Crane-2,B24,
1011,Release,,cn2,
1012,Move_to,Crane-2,B34,
1012,Pick_up,Crane-2,B34,SP-RS-B34-140
1012,Move_from,Crane-2,B34,
1018,Move_to,Crane-2,B37,
1018,Put_down,Crane-2,B37,SP-RS-B34-140
1018,Move_from,Crane-2,B37,
1024,Move_to,Crane-2,B40,
1024,Avoiding_wait_start,Crane-2,B40,
1036,Avoiding_wait_finish,Crane-2,B40,
1036,Move_from,Crane-2,B40,
1036,Move_to,Crane-1,A35,
1036,Put_down,Crane-1,A35,SP-ST-B00-466
1036,Move_from,Crane-1,A35,
1077,Release,,cn1,
1080,Move_to,Crane-2,B20,
1080,Pick_up,Crane-2,B20,SP-RT-B20-141
1080,Move_from,Crane-2,B20,
1092,Move_to,Crane-2,cn2,
1092,Put_down,Crane-2,cn2,SP-RT-B20-141
1092,Move_from,Crane-2,cn2,
1102,Move_to,Crane-2,B29,
1102,Pick_up,Crane-2,B29,SP-RT-B29-146
1102,Move_from,Crane-2,B29,
1104,Move_to,Crane-1,B03,
1104,Pick_up,Crane-1,B03,SP-RS-B03-152
1104,Move_from,Crane-1,B03,
1120,Move_to,Crane-2,cn1,
1120,Put_down,Crane-2,cn1,SP-RT-B29-146
1120,Move_from,Crane-2,cn1,
1128,Move_to,Crane-1,B15,
1128,Put_down,Crane-1,B15,SP-RS-B03-152
1128,Move_from,Crane-1,B15,
1137,Release,,cn1,
1148,Move_to,Crane-2,B34,
1148,Pick_up,Crane-2,B34,SP-RS-B34-139
1148,Move_from,Crane-2,B34,
1152,Move_to,Crane-1,B03,
1152,Pick_up,Crane-1,B03,SP-RS-B03-151
1152,Move_from,Crane-1,B03,
1170,Move_to,Crane-2,B24,
1170,Put_down,Crane-2,B24,SP-RS-B34-139
1170,Move_from,Crane-2,B24,
1186,Move_to,Crane-2,A31,
1186,Avoiding_wait_start,Crane-2,A31,
1202,Avoiding_wait_finish,Crane-2,A31,
1202,Move_from,Crane-2,A31,
1202,Move_to,Crane-1,B26,
1202,Put_down,Crane-1,B26,SP-RS-B03-151
1202,Move_from,Crane-1,B26,
1216,Release,,cn2,
1232,Move_to,Crane-2,A18,
1232,Pick_up,Crane-2,A18,SP-RT-A18-136
1232,Move_from,Crane-2,A18,
1240,Move_to,Crane-2,cn1,
1240,Put_down,Crane-2,cn1,SP-RT-A18-136
1240,Move_from,Crane-2,cn1,
1244,Move_to,Crane-2,B20,
1244,Pick_up,Crane-2,B20,SP-RT-B20-140
1244,Move_from,Crane-2,B20,
1256,Move_to,Crane-2,cn2,
1256,Put_down,Crane-2,cn2,SP-RT-B20-140
1256,Move_from,Crane-2,cn2,
1258,Move_to,Crane-1,B00,
1258,Pick_up,Crane-1,B00,SP-ST-B00-465
1258,Move_from,Crane-1,B00,
1274,Move_to,Crane-1,B08,
1274,Put_down,Crane-1,B08,SP-ST-B00-465
1274,Move_from,Crane-1,B08,
1275,Release,,cn2,
1276,Move_to,Crane-2,B34,
1276,Pick_up,Crane-2,B34,SP-RS-B34-138
1276,Move_from,Crane-2,B34,
1284,Move_to,Crane-1,B03,
1284,Pick_up,Crane-1,B03,SP-RS-B03-150
1284,Move_from,Crane-1,B03,
1288,Move_to,Crane-1,A01,
1288,Put_down,Crane-1,A01,SP-RS-B03-150
1288,Move_from,Crane-1,A01,
1292,Move_to,Crane-2,A26,
1292,Put_down,Crane-2,A26,SP-RS-B34-138
1292,Move_from,Crane-2,A26,
1308,Move_to,Crane-2,A34,
1308,Pick_up,Crane-2,A34,SP-RS-A34-141
1308,Move_from,Crane-2,A34,
1310,Move_to,Crane-2,A35,
1310,Avoiding_wait_start,Crane-2,A35,
1350,Avoiding_wait_finish,Crane-2,A35,
1350,Move_from,Crane-2,A35,
1350,Move_to,Crane-1,A30,
1350,Pick_up,Crane-1,A30,SP-RT-A30-162
1350,Move_from,Crane-1,A30,
1362,Move_to,Crane-1,cn2,
1362,Put_down,Crane-1,cn2,SP-RT-A30-162
1362,Move_from,Crane-1,cn2,
1388,Release,,cn1,
1398,Move_to,Crane-2,A13,
1398,Put_down,Crane-2,A13,SP-RS-A34-141
1398,Move_to,Crane-1,A08,
1398,Move_from,Crane-1,A08,
1398,Move_from,Crane-2,A13,
1432,Move_to,Crane-2,A28,
1432,Pick_up,Crane-2,A28,SP-RT-A28-143
1432,Move_from,Crane-2,A28,
1450,Move_to,Crane-1,A32,
1450,Pick_up,Crane-1,A32,SP-RS-A32-146
1450,Move_to,Crane-2,A37,
1450,Move_from,Crane-2,A37,
1450,Move_from,Crane-1,A32,
1484,Move_to,Crane-2,cn1,
1484,Put_down,Crane-2,cn1,SP-RT-A28-143
1484,Move_from,Crane-2,cn1,
1503,Release,,cn1,
1505,Release,,cn2,
1508,Move_to,Crane-2,A32,
1508,Pick_up,Crane-2,A32,SP-RS-A32-145
1508,Move_from,Crane-2,A32,
1510,Move_to,Crane-1,A04,
1510,Put_down,Crane-1,A04,SP-RS-A32-146
1510,Move_from,Crane-1,A04,
1522,Move_to,Crane-1,B10,
1522,Avoiding_wait_start,Crane-1,B10,
1546,Avoiding_wait_finish,Crane-1,B10,
1546,Move_from,Crane-1,B10,
1546,Move_to,Crane-2,B15,
1546,Put_down,Crane-2,B15,SP-RS-A32-145
1546,Move_from,Crane-2,B15,
1554,Move_to,Crane-2,A19,
1554,Pick_up,Crane-2,A19,SP-RT-A19-151
1554,Move_from,Crane-2,A19,
1568,Move_to,Crane-2,cn2,
1568,Put_down,Crane-2,cn2,SP-RT-A19-151
1568,Move_from,Crane-2,cn2,
1584,Move_to,Crane-2,A32,
1584,Pick_up,Crane-2,A32,SP-RS-A32-144
1584,Move_from,Crane-2,A32,
1588,Move_to,Crane-1,B29,
1588,Pick_up,Crane-1,B29,SP-RT-B29-145
1588,Move_to,Crane-2,A34,
1588,Move_from,Crane-2,A34,
1588,Move_from,Crane-1,B29,
1606,Move_to,Crane-1,cn1,
1606,Put_down,Crane-1,cn1,SP-RT-B29-145
1606,Move_from,Crane-1,cn1,
1618,Move_to,Crane-2,A21,
1618,Put_down,Crane-2,A21,SP-RS-A32-144
1618,Move_from,Crane-2,A21,
1636,Move_to,Crane-2,A12,
1636,Pick_up,Crane-2,A12,SP-RS-A12-138
1636,Move_from,Crane-2,A12,
1646,Release,,cn2,
1650,Move_to,Crane-1,B00,
1650,Pick_up,Crane-1,B00,SP-ST-B00-464
1650,Move_from,Crane-1,B00,
1654,Move_to,Crane-2,A21,
1654,Put_down,Crane-2,A21,SP-RS-A12-138
1654,Move_from,Crane-2,A21,
1676,Move_to,Crane-2,A30,
1676,Pick_up,Crane-2,A30,SP-RT-A30-161
1676,Move_from,Crane-2,A30,
1688,Move_to,Crane-2,cn2,
1688,Put_down,Crane-2,cn2,SP-RT-A30-161
1688,Move_from,Crane-2,cn2,
1690,Release,,cn2,
1691,Release,,cn1,
1720,Move_to,Crane-2,A40,
1720,Avoiding_wait_start,Crane-2,A40,
1724,Avoiding_wait_finish,Crane-2,A40,
1724,Move_from,Crane-2,A40,
1724,Move_to,Crane-1,A35,
1724,Put_down,Crane-1,A35,SP-ST-B00-464
1724,Move_from,Crane-1,A35,
1760,Move_to,Crane-1,A19,
1760,Pick_up,Crane-1,A19,SP-RT-A19-150
1760,Move_from,Crane-1,A19,
1784,Move_to,Crane-2,A12,
1784,Pick_up,Crane-2,A12,SP-RS-A12-137
1784,Move_to,Crane-1,A07,
1784,Move_from,Crane-1,A07,
1784,Move_from,Crane-2,A12,
1816,Move_to,Crane-2,A26,
1816,Put_down,Crane-2,A26,SP-RS-A12-137
1816,Move_from,Crane-2,A26,
1822,Move_to,Crane-1,cn2,
1822,Put_down,Crane-1,cn2,SP-RT-A19-150
1822,Move_to,Crane-2,A29,
1822,Move_from,Crane-2,A29,
1822,Move_from,Crane-1,cn2,
1830,Release,,cn2,
1848,Move_to,Crane-2,A18,
1848,Pick_up,Crane-2,A18,SP-RT-A18-135
1848,Move_from,Crane-2,A18,
1856,Move_to,Crane-2,cn1,
1856,Put_down,Crane-2,cn1,SP-RT-A18-135
1856,Move_from,Crane-2,cn1,
1862,Move_to,Crane-2,A19,
1862,Pick_up,Crane-2,A19,SP-RT-A19-149
1862,Move_from,Crane-2,A19,
1868,Move_to,Crane-1,B03,
1868,Pick_up,Crane-1,B03,SP-RS-B03-149
1868,Move_from,Crane-1,B03,
1876,Move_to,Crane-2,cn2,
1876,Put_down,Crane-2,cn2,SP-RT-A19-149
1876,Move_from,Crane-2,cn2,
1888,Move_to,Crane-2,A20,
1888,Avoiding_wait_start,Crane-2,A20,
1889,Release,,cn2,
1892,Avoiding_wait_finish,Crane-2,A20,
1892,Move_from,Crane-2,A20,
1892,Move_to,Crane-1,B15,
1892,Put_down,Crane-1,B15,SP-RS-B03-149
1892,Move_from,Crane-1,B15,
1908,Move_to,Crane-2,A12,
1908,Pick_up,Crane-2,A12,SP-RS-A12-136
1908,Move_to,Crane-1,B07,
1908,Move_from,Crane-1,B07,
1908,Move_from,Crane-2,A12,
1940,Move_to,Crane-1,B22,
1940,Pick_up,Crane-1,B22,SP-RT-B22-142
1940,Move_to,Crane-2,B26,
1940,Put_down,Crane-2,B26,SP-RS-A12-136
1940,Move_from,Crane-1,B22,
1940,Move_from,Crane-2,B26,
1946,Move_to,Crane-1,cn2,
1946,Put_down,Crane-1,cn2,SP-RT-B22-142
1946,Move_to,Crane-2,A29,
1946,Move_from,Crane-2,A29,
1946,Move_from,Crane-1,cn2,
1984,Move_to,Crane-2,A12,
1984,Pick_up,Crane-2,A12,SP-RS-A12-135
1984,Move_to,Crane-1,A07,
1984,Move_from,Crane-1,A07,
1984,Move_from,Crane-2,A12,
1987,Release,,cn1,
2016,Release,,cn2,
2016,Move_to,Crane-2,A26,
2016,Put_down,Crane-2,A26,SP-RS-A12-135
2016,Move_from,Crane-2,A26,
2042,Move_to,Crane-1,A34,
2042,Pick_up,Crane-1,A34,SP-RS-A34-140
2042,Move_to,Crane-2,A39,
2042,Move_from,Crane-2,A39,
2042,Move_from,Crane-1,A34,
2088,Move_to,Crane-2,A18,
2088,Pick_up,Crane-2,A18,SP-RT-A18-134
2088,Move_from,Crane-2,A18,
2096,Move_to,Crane-2,cn1,
2096,Put_down,Crane-2,cn1,SP-RT-A18-134
2096,Move_from,Crane-2,cn1,
2100,Move_to,Crane-2,B20,
2100,Pick_up,Crane-2,B20,SP-RT-B20-139
2100,Move_from,Crane-2,B20,
2112,Move_to,Crane-1,B01,
2112,Put_down,Crane-1,B01,SP-RS-A34-140
2112,Move_to,Crane-2,cn2,
2112,Put_down,Crane-2,cn2,SP-RT-B20-139
2112,Move_from,Crane-1,B01,
2112,Move_from,Crane-2,cn2,
2142,Move_to,Crane-2,A39,
2142,Avoiding_wait_start,Crane-2,A39,
2143,Release,,cn1,
2182,Avoiding_wait_finish,Crane-2,A39,
2182,Move_from,Crane-2,A39,
2182,Move_to,Crane-1,A34,
2182,Pick_up,Crane-1,A34,SP-RS-A34-139
2182,Move_from,Crane-1,A34,
2240,Move_to,Crane-2,A12,
2240,Pick_up,Crane-2,A12,SP-RS-A12-134
2240,Move_from,Crane-2,A12,
2246,Move_to,Crane-1,A04,
2246,Put_down,Crane-1,A04,SP-RS-A34-139
2246,Move_from,Crane-1,A04,
2294,Move_to,Crane-2,B37,
2294,Put_down,Crane-2,B37,SP-RS-A12-134
2294,Move_from,Crane-2,B37,
2298,Move_to,Crane-1,A28,
2298,Pick_up,Crane-1,A28,SP-RT-A28-142
2298,Move_from,Crane-1,A28,
2300,Move_to,Crane-2,A34,
2300,Pick_up,Crane-2,A34,SP-RS-A34-138
2300,Move_from,Crane-2,A34,
2314,Move_to,Crane-1,cn1,
2314,Put_down,Crane-1,cn1,SP-RT-A28-142
2314,Move_from,Crane-1,cn1,
2330,Move_to,Crane-2,A21,
2330,Put_down,Crane-2,A21,SP-RS-A34-138
2330,Move_from,Crane-2,A21,
2348,Move_to,Crane-2,A12,
2348,Pick_up,Crane-2,A12,SP-RS-A12-133
2348,Move_from,Crane-2,A12,
2352,Move_to,Crane-1,B03,
2352,Pick_up,Crane-1,B03,SP-RS-B03-148
2352,Move_from,Crane-1,B03,
2363,Release,,cn1,
2380,Move_to,Crane-2,B26,
2380,Put_down,Crane-2,B26,SP-RS-A12-133
2380,Move_from,Crane-2,B26,
2390,Move_to,Crane-2,B31,
2390,Avoiding_wait_start,Crane-2,B31,
2402,Avoiding_wait_finish,Crane-2,B31,
2402,Move_from,Crane-2,B31,
2402,Move_to,Crane-1,B26,
2402,Put_down,Crane-1,B26,SP-RS-B03-148
2402,Move_from,Crane-1,B26,
2426,Move_to,Crane-2,B21,
2426,Pick_up,Crane-2,B21,SP-RT-B21-147
2426,Move_from,Crane-2,B21,
2428,Move_to,Crane-2,cn1,
2428,Put_down,Crane-2,cn1,SP-RT-B21-147
2428,Move_from,Crane-2,cn1,
2436,Release,,cn1,
2452,Move_to,Crane-1,B03,
2452,Pick_up,Crane-1,B03,SP-RS-B03-147
2452,Move_from,Crane-1,B03,
2456,Move_to,Crane-2,A34,
2456,Pick_up,Crane-2,A34,SP-RS-A34-137
2456,Move_from,Crane-2,A34,
2476,Move_to,Crane-1,B15,
2476,Put_down,Crane-1,B15,SP-RS-B03-147
2476,Move_from,Crane-1,B15,
2482,Move_to,Crane-1,A18,
2482,Pick_up,Crane-1,A18,SP-RT-A18-133
2482,Move_from,Crane-1,A18,
2498,Move_to,Crane-2,B15,
2498,Put_down,Crane-2,B15,SP-RS-A34-137
2498,Move_to,Crane-1,A10,
2498,Move_from,Crane-1,A10,
2498,Move_from,Crane-2,B15,
2500,Release,,cn2,
2522,Move_to,Crane-1,cn1,
2522,Put_down,Crane-1,cn1,SP-RT-A18-133
2522,Move_from,Crane-1,cn1,
2524,Move_to,Crane-1,B22,
2524,Pick_up,Crane-1,B22,SP-RT-B22-141
2524,Move_from,Crane-1,B22,
2525,Release,,cn1,
2530,Move_to,Crane-1,cn2,
2530,Put_down,Crane-1,cn2,SP-RT-B22-141
2530,Move_from,Crane-1,cn2,
2534,Move_to,Crane-2,B31,
2534,Pick_up,Crane-2,B31,SP-RS-B31-143
2534,Move_from,Crane-2,B31,
2538,Move_to,Crane-1,A28,
2538,Pick_up,Crane-1,A28,SP-RT-A28-141
2538,Move_to,Crane-2,A33,
2538,Move_from,Crane-2,A33,
2538,Move_from,Crane-1,A28,
2554,Move_to,Crane-1,cn1,
2554,Put_down,Crane-1,cn1,SP-RT-A28-141
2554,Move_from,Crane-1,cn1,
2577,Release,,cn2,
2582,Move_to,Crane-2,A13,
2582,Put_down,Crane-2,A13,SP-RS-B31-143
2582,Move_to,Crane-1,A08,
2582,Move_from,Crane-1,A08,
2582,Move_from,Crane-2,A13,
2596,Move_to,Crane-2,B20,
2596,Pick_up,Crane-2,B20,SP-RT-B20-138
2596,Move_from,Crane-2,B20,
2608,Move_to,Crane-2,cn2,
2608,Put_down,Crane-2,cn2,SP-RT-B20-138
2608,Move_from,Crane-2,cn2,
2638,Move_to,Crane-1,A34,
2638,Pick_up,Crane-1,A34,SP-RS-A34-136
2638,Move_to,Crane-2,B39,
2638,Move_from,Crane-2,B39,
2638,Move_from,Crane-1,A34,
2650,Release,,cn3,
2694,Move_to,Crane-2,B13,
2694,Pick_up,Crane-2,B13,SP-RS-B13-161
2694,Move_from,Crane-2,B13,
2695,Move_to,Crane-2,A13,
2695,Put_down,Crane-2,A13,SP-RS-B13-161
2695,Move_from,Crane-2,A13,
2708,Move_to,Crane-1,A01,
2708,Put_down,Crane-1,A01,SP-RS-A34-136
2708,Move_from,Crane-1,A01,
2712,Move_to,Crane-1,A03,
2712,Pick_up,Crane-1,A03,SP-RS-A03-133
2712,Move_from,Crane-1,A03,
2716,Move_to,Crane-1,A01,
2716,Put_down,Crane-1,A01,SP-RS-A03-133
2716,Move_from,Crane-1,A01,
2738,Move_to,Crane-1,A12,
2738,Pick_up,Crane-1,A12,SP-RS-A12-132
2738,Move_from,Crane-1,A12,
2753,Move_to,Crane-2,B40,
2753,Pick_up,Crane-2,B40,SP-RT-B40-151
2753,Move_from,Crane-2,B40,
2755,Move_to,Crane-2,cn3,
